host_raw,host_canonical,group_size,first_year,last_year,n_years,host_canonical_draft
Горохівське ДЛМГ ,Горохівське ДЛМГ ,6,2004,2004,1,Горохівське ЛМГ
Горохівське ЛМГ,Горохівське ДЛМГ ,6,2013,2022,10,Горохівське ЛМГ
"ДМГ ""Горохівське""",Горохівське ДЛМГ ,6,2000,2003,4,Горохівське ЛМГ
"ДП ""Горохівське  ЛМГ""",Горохівське ДЛМГ ,6,2022,2022,1,Горохівське ЛМГ
"ДП ""Горохівське ЛМГ""",Горохівське ДЛМГ ,6,2018,2018,1,Горохівське ЛМГ
"ДП ""Горохівське ЛМГ"" ",Горохівське ДЛМГ ,6,2005,2012,8,Горохівське ЛМГ
"ДП  ""Ратнівське ЛМГ""","ДП  ""Ратнівське ЛМГ""",4,2021,2023,3,Ратнівське ЛМГ
"ДП ""Ратнівське ЛГ""","ДП  ""Ратнівське ЛМГ""",4,2018,2018,1,Ратнівське ЛМГ
"ДП ""Ратнівське ЛМГ""","ДП  ""Ратнівське ЛМГ""",4,2022,2022,1,Ратнівське ЛМГ
"ДП ""Ратнівське ЛМГ"" ","ДП  ""Ратнівське ЛМГ""",4,2005,2012,8,Ратнівське ЛМГ
Городоцьке ЛГ,Городоцьке ЛГ,3,2014,2022,9,Городоцьке ЛГ
Городоцький ЛГ,Городоцьке ЛГ,3,2013,2016,4,Городоцьке ЛГ
ДП Городоцьке ЛГ,Городоцьке ЛГ,3,2022,2022,1,Городоцьке ЛГ
"ДМГ ""Звірівське"" ","ДМГ ""Звірівське"" ",3,2002,2004,3,Звірівське ЛМГ
"ЛМГ ""Звірівське""","ДМГ ""Звірівське"" ",3,2018,2022,5,Звірівське ЛМГ
"МГ ""Звірівське""","ДМГ ""Звірівське"" ",3,2013,2017,5,Звірівське ЛМГ
"ДП ""Володимир Волинське ЛМГ""","ДП ""Володимир Волинське ЛМГ""",3,2022,2022,1,Володимир-Волинське ЛМГ
