year,host,species,metric,value,host_canonical,species_canonical
2000,"ДМГ ""Борове""",Зубр,relocated,,Борове ЛМГ,Зубр
2000,"ДМГ ""Горохівське""",Зубр,relocated,,Горохівське ЛМГ,Зубр
2000,"ДМГ ""Старовижівське""",Зубр,relocated,,Старовижівське ЛГ,Зубр
2000,Звірівське ДЛМГ,Зубр,relocated,,Звірівське ЛМГ,Зубр
2000,В.-Волинське ДЛМГ,Зубр,relocated,,Володимир-Волинське ЛМГ,Зубр
2000,Любешівське ДЛМГ,Зубр,relocated,,Любешівське ЛМГ,Зубр
2000,Ратнівське ДЛМГ,Зубр,relocated,,Ратнівське ЛМГ,Зубр
2000,Городоцький ДЛГ,Зубр,relocated,,Городоцьке ЛГ,Зубр
2000,К.-Каширський ДЛГ,Зубр,relocated,,Камінь-Каширське ЛГ,Зубр
2000,Ківерцівський ДЛГ,Зубр,relocated,,Ківерцівське ЛГ,Зубр
2000,Ковельський ДЛГ,Зубр,relocated,,Ковельське ЛГ,Зубр
2000,Любомльський ДЛГ,Зубр,relocated,,Любомльське ЛГ,Зубр
2000,Маневицький ДЛГ,Зубр,relocated,,Маневицьке ЛГ,Зубр
2000,Цуманський ДЛГ,Зубр,relocated,,Цуманське ЛГ,Зубр
2000,Шацький ДЛГ,Зубр,relocated,,Шацьке ЛГ,Зубр
2000,В.-Волинська р/р УТМР,Зубр,relocated,,Володимир-Волинська р/о УТМР,Зубр
2000,Іваничівська р/р УТМР,Зубр,relocated,,Іваничівська р/о УТМР,Зубр
2000,К.-Каширська р/р УТМР,Зубр,relocated,,Камінь-Каширська р/о УТМР,Зубр
2000,Ківерцівська р/р УТМР,Зубр,relocated,,Ківерцівська р/о УТМР,Зубр
2000,Ковельська р/р УТМР,Зубр,relocated,,Ковельська м/о УТМР,Зубр
2000,Локачинська р/р УТМР,Зубр,relocated,,Локачинська р/о УТМР,Зубр
2000,Луцька р/р УТМР,Зубр,relocated,,Луцька р/о УТМР,Зубр
2000,Любешівська р/р УТМР,Зубр,relocated,,Любешівська р/о УТМР,Зубр
2000,Любомльська р/р УТМР,Зубр,relocated,,Любомльська р/о УТМР,Зубр
2000,Маневицька р/р УТМР,Зубр,relocated,,Маневицька р/о УТМР,Зубр
2000,Ратнівська р/р УТМР,Зубр,relocated,,Ратнівська р/о УТМР,Зубр
2000,Рожищенська р/р УТМР,Зубр,relocated,,Рожищенська р/о УТМР,Зубр
2000,Старовижівська р/р УТМР,Зубр,relocated,,Старовижівська р/о УТМР,Зубр
2000,Шацька р/р УТМР,Зубр,relocated,,Шацька р/о УТМР,Зубр
2000,Облрада УТМР,Зубр,relocated,,Облрада УТМР,Зубр
2000,"Турійське РТМР ""Тур""",Зубр,relocated,,Турійське РТМР Тур,Зубр
2000,"Ковельське СЛГП ""Тур""",Зубр,relocated,,"Ковельське СЛАП ""Тур""",Зубр
2000,К.-Каширське СЛГП,Зубр,relocated,,Камінь-Каширськагроліс,Зубр
2000,"МП ""Агросервіс""",Зубр,relocated,,МП Агросервіс,Зубр
2000,"ТзОВ ""Вікінг""",Зубр,relocated,,Вікінг,Зубр
2000,Шацький ПНП,Зубр,relocated,,Шацький НПП,Зубр
2000,"ДМГ ""Борове""",Зубр,caught,,Борове ЛМГ,Зубр
2000,"ДМГ ""Горохівське""",Зубр,caught,,Горохівське ЛМГ,Зубр
2000,"ДМГ ""Старовижівське""",Зубр,caught,,Старовижівське ЛГ,Зубр
2000,Звірівське ДЛМГ,Зубр,caught,,Звірівське ЛМГ,Зубр
2000,В.-Волинське ДЛМГ,Зубр,caught,,Володимир-Волинське ЛМГ,Зубр
2000,Любешівське ДЛМГ,Зубр,caught,,Любешівське ЛМГ,Зубр
2000,Ратнівське ДЛМГ,Зубр,caught,,Ратнівське ЛМГ,Зубр
2000,Городоцький ДЛГ,Зубр,caught,,Городоцьке ЛГ,Зубр
2000,К.-Каширський ДЛГ,Зубр,caught,,Камінь-Каширське ЛГ,Зубр
2000,Ківерцівський ДЛГ,Зубр,caught,,Ківерцівське ЛГ,Зубр
2000,Ковельський ДЛГ,Зубр,caught,,Ковельське ЛГ,Зубр
2000,Любомльський ДЛГ,Зубр,caught,,Любомльське ЛГ,Зубр
2000,Маневицький ДЛГ,Зубр,caught,,Маневицьке ЛГ,Зубр
2000,Цуманський ДЛГ,Зубр,caught,,Цуманське ЛГ,Зубр
2000,Шацький ДЛГ,Зубр,caught,,Шацьке ЛГ,Зубр
2000,В.-Волинська р/р УТМР,Зубр,caught,,Володимир-Волинська р/о УТМР,Зубр
2000,Іваничівська р/р УТМР,Зубр,caught,,Іваничівська р/о УТМР,Зубр
2000,К.-Каширська р/р УТМР,Зубр,caught,,Камінь-Каширська р/о УТМР,Зубр
2000,Ківерцівська р/р УТМР,Зубр,caught,,Ківерцівська р/о УТМР,Зубр
2000,Ковельська р/р УТМР,Зубр,caught,,Ковельська м/о УТМР,Зубр
2000,Локачинська р/р УТМР,Зубр,caught,,Локачинська р/о УТМР,Зубр
2000,Луцька р/р УТМР,Зубр,caught,,Луцька р/о УТМР,Зубр
2000,Любешівська р/р УТМР,Зубр,caught,,Любешівська р/о УТМР,Зубр
2000,Любомльська р/р УТМР,Зубр,caught,,Любомльська р/о УТМР,Зубр
2000,Маневицька р/р УТМР,Зубр,caught,,Маневицька р/о УТМР,Зубр
2000,Ратнівська р/р УТМР,Зубр,caught,,Ратнівська р/о УТМР,Зубр
2000,Рожищенська р/р УТМР,Зубр,caught,,Рожищенська р/о УТМР,Зубр
2000,Старовижівська р/р УТМР,Зубр,caught,,Старовижівська р/о УТМР,Зубр
2000,Шацька р/р УТМР,Зубр,caught,,Шацька р/о УТМР,Зубр
2000,Облрада УТМР,Зубр,caught,,Облрада УТМР,Зубр
2000,"Турійське РТМР ""Тур""",Зубр,caught,,Турійське РТМР Тур,Зубр
2000,"Ковельське СЛГП ""Тур""",Зубр,caught,,"Ковельське СЛАП ""Тур""",Зубр
2000,К.-Каширське СЛГП,Зубр,caught,,Камінь-Каширськагроліс,Зубр
2000,"МП ""Агросервіс""",Зубр,caught,,МП Агросервіс,Зубр
2000,"ТзОВ ""Вікінг""",Зубр,caught,,Вікінг,Зубр
2000,Шацький ПНП,Зубр,caught,,Шацький НПП,Зубр
2000,"ДМГ ""Борове""",Лось,relocated,,Борове ЛМГ,Лось
2000,"ДМГ ""Горохівське""",Лось,relocated,,Горохівське ЛМГ,Лось
2000,"ДМГ ""Старовижівське""",Лось,relocated,,Старовижівське ЛГ,Лось
2000,Звірівське ДЛМГ,Лось,relocated,,Звірівське ЛМГ,Лось
2000,В.-Волинське ДЛМГ,Лось,relocated,,Володимир-Волинське ЛМГ,Лось
2000,Любешівське ДЛМГ,Лось,relocated,,Любешівське ЛМГ,Лось
2000,Ратнівське ДЛМГ,Лось,relocated,,Ратнівське ЛМГ,Лось
2000,Городоцький ДЛГ,Лось,relocated,,Городоцьке ЛГ,Лось
2000,К.-Каширський ДЛГ,Лось,relocated,,Камінь-Каширське ЛГ,Лось
2000,Ківерцівський ДЛГ,Лось,relocated,,Ківерцівське ЛГ,Лось
2000,Ковельський ДЛГ,Лось,relocated,,Ковельське ЛГ,Лось
2000,Любомльський ДЛГ,Лось,relocated,,Любомльське ЛГ,Лось
2000,Маневицький ДЛГ,Лось,relocated,,Маневицьке ЛГ,Лось
2000,Цуманський ДЛГ,Лось,relocated,,Цуманське ЛГ,Лось
2000,Шацький ДЛГ,Лось,relocated,,Шацьке ЛГ,Лось
2000,В.-Волинська р/р УТМР,Лось,relocated,,Володимир-Волинська р/о УТМР,Лось
2000,Іваничівська р/р УТМР,Лось,relocated,,Іваничівська р/о УТМР,Лось
2000,К.-Каширська р/р УТМР,Лось,relocated,,Камінь-Каширська р/о УТМР,Лось
2000,Ківерцівська р/р УТМР,Лось,relocated,,Ківерцівська р/о УТМР,Лось
2000,Ковельська р/р УТМР,Лось,relocated,,Ковельська м/о УТМР,Лось
2000,Локачинська р/р УТМР,Лось,relocated,,Локачинська р/о УТМР,Лось
2000,Луцька р/р УТМР,Лось,relocated,,Луцька р/о УТМР,Лось
2000,Любешівська р/р УТМР,Лось,relocated,,Любешівська р/о УТМР,Лось
2000,Любомльська р/р УТМР,Лось,relocated,,Любомльська р/о УТМР,Лось
2000,Маневицька р/р УТМР,Лось,relocated,,Маневицька р/о УТМР,Лось
2000,Ратнівська р/р УТМР,Лось,relocated,,Ратнівська р/о УТМР,Лось
2000,Рожищенська р/р УТМР,Лось,relocated,,Рожищенська р/о УТМР,Лось
2000,Старовижівська р/р УТМР,Лось,relocated,,Старовижівська р/о УТМР,Лось
2000,Шацька р/р УТМР,Лось,relocated,,Шацька р/о УТМР,Лось
2000,Облрада УТМР,Лось,relocated,,Облрада УТМР,Лось
2000,"Турійське РТМР ""Тур""",Лось,relocated,,Турійське РТМР Тур,Лось
2000,"Ковельське СЛГП ""Тур""",Лось,relocated,,"Ковельське СЛАП ""Тур""",Лось
2000,К.-Каширське СЛГП,Лось,relocated,,Камінь-Каширськагроліс,Лось
2000,"МП ""Агросервіс""",Лось,relocated,,МП Агросервіс,Лось
2000,"ТзОВ ""Вікінг""",Лось,relocated,,Вікінг,Лось
2000,Шацький ПНП,Лось,relocated,,Шацький НПП,Лось
2000,"ДМГ ""Борове""",Лось,caught,,Борове ЛМГ,Лось
2000,"ДМГ ""Горохівське""",Лось,caught,,Горохівське ЛМГ,Лось
2000,"ДМГ ""Старовижівське""",Лось,caught,,Старовижівське ЛГ,Лось
2000,Звірівське ДЛМГ,Лось,caught,,Звірівське ЛМГ,Лось
2000,В.-Волинське ДЛМГ,Лось,caught,,Володимир-Волинське ЛМГ,Лось
2000,Любешівське ДЛМГ,Лось,caught,,Любешівське ЛМГ,Лось
2000,Ратнівське ДЛМГ,Лось,caught,,Ратнівське ЛМГ,Лось
2000,Городоцький ДЛГ,Лось,caught,,Городоцьке ЛГ,Лось
2000,К.-Каширський ДЛГ,Лось,caught,,Камінь-Каширське ЛГ,Лось
2000,Ківерцівський ДЛГ,Лось,caught,,Ківерцівське ЛГ,Лось
2000,Ковельський ДЛГ,Лось,caught,,Ковельське ЛГ,Лось
2000,Любомльський ДЛГ,Лось,caught,,Любомльське ЛГ,Лось
2000,Маневицький ДЛГ,Лось,caught,,Маневицьке ЛГ,Лось
2000,Цуманський ДЛГ,Лось,caught,,Цуманське ЛГ,Лось
2000,Шацький ДЛГ,Лось,caught,,Шацьке ЛГ,Лось
2000,В.-Волинська р/р УТМР,Лось,caught,,Володимир-Волинська р/о УТМР,Лось
2000,Іваничівська р/р УТМР,Лось,caught,,Іваничівська р/о УТМР,Лось
2000,К.-Каширська р/р УТМР,Лось,caught,,Камінь-Каширська р/о УТМР,Лось
2000,Ківерцівська р/р УТМР,Лось,caught,,Ківерцівська р/о УТМР,Лось
2000,Ковельська р/р УТМР,Лось,caught,,Ковельська м/о УТМР,Лось
2000,Локачинська р/р УТМР,Лось,caught,,Локачинська р/о УТМР,Лось
2000,Луцька р/р УТМР,Лось,caught,,Луцька р/о УТМР,Лось
2000,Любешівська р/р УТМР,Лось,caught,,Любешівська р/о УТМР,Лось
2000,Любомльська р/р УТМР,Лось,caught,,Любомльська р/о УТМР,Лось
