year,host,species,count,location,origin,host_canonical,species_canonical
2018,"ДП ""Горохівське ЛМГ""",Фазан,40,"ДП ""Горохівське ЛМГ""","ДП ""Іллінецьке лісове господарство""",Горохівське ЛМГ,Фазан
2018,"ДП ""Ратнівське ЛГ""",Кабан,8,"ДП ""Ратнівське ЛГ"" (Кортелівське та Жиричівське лісництво)","вольєрне розведення ДП ""Ратнівське ЛМГ""",Ратнівське ЛМГ,Кабан
2018,"ДП ""Городоцьке ЛГ""",Олень плямистий,4,"ДП ""Городоцьке ЛГ""","ДП ""МГ ""Звірівське""",Городоцьке ЛГ,Олень плямистий
2018,"ДП ""Маневицьке ЛГ""",Кабан,10,"ДП ""Маневицьке ЛГ"" Галузійське","вольєрне розведення ДП ""Маневицьке ЛГ""",Маневицьке ЛГ,Кабан
2018,"ДП ""Маневицьке ЛГ""",Фазан,20,"ДП ""Маневицьке ЛГ"" Галузійське",Одесса,Маневицьке ЛГ,Фазан
2018,"ГО ""МРК ""Наболоцький""",Кабан,6,"ГО ""МРК ""Наболоцький""",вольєрне розведення,МРК Наболоцький,Кабан
2019,"ДП ""ЛМГ""Звірівське""",Лань,3,Воротнівське лісництво,"ДП ""ЛМГ""Звірівське"" (вольєр)",Звірівське ЛМГ,Лань
2019,"ДП ""ЛМГ""Звірівське""",Олень благородний,9,Воротнівське лісництво,"ДП ""ЛМГ""Звірівське"" (вольєр)",Звірівське ЛМГ,Олень благородний
2019,"ДП ""ЛМГ""Звірівське""",Олень плямистий,46,"ДП ""ЛМГ""Звірівське""","ДП ""ЛМГ""Звірівське"" (вольєр)",Звірівське ЛМГ,Олень плямистий
2019,"ДП ""ЛМГ""Звірівське""",Фазан,160,"ДП ""ЛМГ""Звірівське""","ДП ""ЛМГ""Звірівське"" (вольєр)",Звірівське ЛМГ,Фазан
2019,"ДП ""ЛМГ""Звірівське""",Олень плямистий,2,"ДП ""Старовижівське ЛГ","ДП ""ЛМГ""Звірівське"" (вольєр)",Звірівське ЛМГ,Олень плямистий
2019,"ДП ""Маневицьке ЛГ""",Фазан,20,"ДП ""Маневицьке ЛГ""",Одесса,Маневицьке ЛГ,Фазан
2019,"ДП ""Маневицьке ЛГ""",Кабан,10,"ДП ""Маневицьке ЛГ""",вольєрне розведення,Маневицьке ЛГ,Кабан
2019,"ДП ""Прибузьке ЛГ""",Кабан,9,"ДП ""Прибузьке ЛГ"", Гущанське лісництво",вольєрне розведення,Прибузьке ЛГ,Кабан
2019,"ДП ""Старовижівське ЛГ""",Олень плямистий,2,"ДП ""Старовижівське ЛГ","ДП ""ЛМГ""Звірівське"" (вольєр)",Старовижівське ЛГ,Олень плямистий
2019,"ДП ""Старовижівське ЛГ""",Кабан,9,"ДП ""Прибузьке ЛГ"", Гущанське лісництво",вольєрне розведення,Старовижівське ЛГ,Кабан
2019,"ДП ""Старовижівське ЛГ""",Качка,330,"ДП ""Старовижівське ЛГ",вольєрне розведення,Старовижівське ЛГ,Качки
2019,"ДП ""Шацьке ЛГ""",Качка,40,"ДП ""Шацьке УДЛГ""","ДП ""Шацьке УДЛГ"" (вольєр)",Шацьке ЛГ,Качки
2019,"ГО ""МРК ""Наболоцький""",Кабан,3,"ГО ""МРК ""Наболоцький""",вольєрне розведення,МРК Наболоцький,Кабан
2020,"ДП ""Городоцьке ЛГ""",Фазан,60,"ДП ""Городоцьке ЛГ""",вольєрне розведення,Городоцьке ЛГ,Фазан
2020,"ДП ""ЛМГ ""Звірівське""",Фазан,250,"ДП ""ЛМГ""Звірівське""","ДП ""ЛМГ""Звірівське"" (вольєр)",Звірівське ЛМГ,Фазан
2020,"ДП ""ЛМГ ""Звірівське""",Олень плямистий,3,"ДП ""Горохівське ЛМГ""",відлов,Звірівське ЛМГ,Олень плямистий
2020,"ДП ""Прибузьке ЛГ""",Кабан,6,"ДП ""Прибузьке ЛГ""",вольєрне розведення,Прибузьке ЛГ,Кабан
2020,"ДП ""Старовижівське ЛГ""",Кабан,20,"ДП ""Старовижівське ЛГ""",вольєрне розведення,Старовижівське ЛГ,Кабан
2020,"ДП ""Шацьке ЛГ""",Качка,50,"ДП ""Шацьке УДЛГ""","ДП ""Шацьке УДЛГ"" (вольєр)",Шацьке ЛГ,Качки
2020,"ТзОВ ""Ковесільмаш""",Кабан,15,"ТзОВ ""Ковельсільмаш""",вольєрне розведення,Ковельсільмаш,Кабан
2021,"ДП Володимир-Волинське ЛМГ""",Фазан,450,"мисливські угіддя ДП ""Володимир- Волинське ЛМГ""","ДП ""Горохівське ЛМГ"",  ДП ""Любомльське ЛГ""",Володимир-Волинське ЛМГ,Фазан
2021,"ДП ""Городоцьке ЛГ""",Фазан,200,"ДП ""Городоцьке ЛГ""","ДП ""Колківське ЛГ""",Городоцьке ЛГ,Фазан
2021,"ДП ""ЛМГ ""Звірівське""",Фазан,55,"угіддя ДП ""ЛМГ""Звірівське""","ДП ""ЛМГ""Звірівське"" (вольєр)",Звірівське ЛМГ,Фазан
2021,"ДП ""ЛМГ ""Звірівське""",Олень плямистий,9,"угіддя ДП ""ЛМГ""Звірівське""","ДП ""ЛМГ""Звірівське"" (вольєр)",Звірівське ЛМГ,Олень плямистий
2021,"ДП ""Камінь-Каширське ЛГ""",Фазан,200,"угіддя ДП ""Камінь-Каширське ЛГ""","ДП ""Любомльське ЛГ""",Камінь-Каширське ЛГ,Фазан
2021,"ДП ""Ківерцівське ЛГ""",Фазан,200,"угіддя ДП ""Ківерцівське ЛГ""","ДП ""Колківське ЛГ""",Ківерцівське ЛГ,Фазан
2021,"ДП ""Ковельське ЛГ""",Олень плямистий,1,"угіддя ДП ""Ковельське ЛГ""","ДП ""ЛМГ""Звірівське"" (вольєр)",Ковельське ЛГ,Олень плямистий
