year,host,metric,value,host_canonical
2000,"ДМГ ""Борове""",total_expenses,76500.0,Борове ЛМГ
2000,"ДМГ ""Горохівське""",total_expenses,77811.0,Горохівське ЛМГ
2000,"ДМГ ""Старовижівське""",total_expenses,58200.0,Старовижівське ЛГ
2000,Звірівське ДЛМГ,total_expenses,196956.0,Звірівське ЛМГ
2000,В.-Волинське ДЛМГ,total_expenses,9460.0,Володимир-Волинське ЛМГ
2000,Любешівське ДЛМГ,total_expenses,20522.0,Любешівське ЛМГ
2000,Ратнівське ДЛМГ,total_expenses,15600.0,Ратнівське ЛМГ
2000,Городоцький ДЛГ,total_expenses,7460.0,Городоцьке ЛГ
2000,К.-Каширський ДЛГ,total_expenses,9550.0,Камінь-Каширське ЛГ
2000,Ківерцівський ДЛГ,total_expenses,1900.0,Ківерцівське ЛГ
2000,Ковельський ДЛГ,total_expenses,1650.0,Ковельське ЛГ
2000,Любомльський ДЛГ,total_expenses,3868.0,Любомльське ЛГ
2000,Маневицький ДЛГ,total_expenses,7700.0,Маневицьке ЛГ
2000,Цуманський ДЛГ,total_expenses,15908.0,Цуманське ЛГ
2000,Шацький ДЛГ,total_expenses,3812.0,Шацьке ЛГ
2000,В.-Волинська р/р УТМР,total_expenses,7863.0,Володимир-Волинська р/о УТМР
2000,Іваничівська р/р УТМР,total_expenses,7303.0,Іваничівська р/о УТМР
2000,К.-Каширська р/р УТМР,total_expenses,10195.0,Камінь-Каширська р/о УТМР
2000,Ківерцівська р/р УТМР,total_expenses,12865.0,Ківерцівська р/о УТМР
2000,Ковельська р/р УТМР,total_expenses,44800.0,Ковельська м/о УТМР
2000,Локачинська р/р УТМР,total_expenses,6267.0,Локачинська р/о УТМР
2000,Луцька р/р УТМР,total_expenses,16265.0,Луцька р/о УТМР
2000,Любешівська р/р УТМР,total_expenses,10010.0,Любешівська р/о УТМР
2000,Любомльська р/р УТМР,total_expenses,15207.0,Любомльська р/о УТМР
2000,Маневицька р/р УТМР,total_expenses,8125.0,Маневицька р/о УТМР
2000,Ратнівська р/р УТМР,total_expenses,7120.0,Ратнівська р/о УТМР
2000,Рожищенська р/р УТМР,total_expenses,10789.0,Рожищенська р/о УТМР
2000,Старовижівська р/р УТМР,total_expenses,8236.0,Старовижівська р/о УТМР
2000,Шацька р/р УТМР,total_expenses,5439.0,Шацька р/о УТМР
2000,Облрада УТМР,total_expenses,35416.0,Облрада УТМР
2000,"Турійське РТМР ""Тур""",total_expenses,29993.0,Турійське РТМР Тур
2000,"Ковельське СЛГП ""Тур""",total_expenses,11600.0,"Ковельське СЛАП ""Тур"""
2000,К.-Каширське СЛГП,total_expenses,10000.0,Камінь-Каширськагроліс
2000,"МП ""Агросервіс""",total_expenses,8570.0,МП Агросервіс
2000,"ТзОВ ""Вікінг""",total_expenses,11047.0,Вікінг
2000,Шацький ПНП,total_expenses,21216.0,Шацький НПП
2000,"ДМГ ""Борове""",gov_funding,36400.0,Борове ЛМГ
2000,"ДМГ ""Горохівське""",gov_funding,42925.0,Горохівське ЛМГ
2000,"ДМГ ""Старовижівське""",gov_funding,40350.0,Старовижівське ЛГ
2000,Звірівське ДЛМГ,gov_funding,52700.0,Звірівське ЛМГ
2000,В.-Волинське ДЛМГ,gov_funding,1560.0,Володимир-Волинське ЛМГ
2000,Любешівське ДЛМГ,gov_funding,11022.0,Любешівське ЛМГ
2000,Ратнівське ДЛМГ,gov_funding,,Ратнівське ЛМГ
2000,Городоцький ДЛГ,gov_funding,,Городоцьке ЛГ
2000,К.-Каширський ДЛГ,gov_funding,4544.0,Камінь-Каширське ЛГ
2000,Ківерцівський ДЛГ,gov_funding,,Ківерцівське ЛГ
2000,Ковельський ДЛГ,gov_funding,,Ковельське ЛГ
2000,Любомльський ДЛГ,gov_funding,2824.0,Любомльське ЛГ
2000,Маневицький ДЛГ,gov_funding,4700.0,Маневицьке ЛГ
2000,Цуманський ДЛГ,gov_funding,12408.0,Цуманське ЛГ
2000,Шацький ДЛГ,gov_funding,2312.0,Шацьке ЛГ
2000,В.-Волинська р/р УТМР,gov_funding,,Володимир-Волинська р/о УТМР
2000,Іваничівська р/р УТМР,gov_funding,,Іваничівська р/о УТМР
2000,К.-Каширська р/р УТМР,gov_funding,,Камінь-Каширська р/о УТМР
2000,Ківерцівська р/р УТМР,gov_funding,,Ківерцівська р/о УТМР
2000,Ковельська р/р УТМР,gov_funding,,Ковельська м/о УТМР
2000,Локачинська р/р УТМР,gov_funding,,Локачинська р/о УТМР
2000,Луцька р/р УТМР,gov_funding,,Луцька р/о УТМР
2000,Любешівська р/р УТМР,gov_funding,,Любешівська р/о УТМР
2000,Любомльська р/р УТМР,gov_funding,,Любомльська р/о УТМР
2000,Маневицька р/р УТМР,gov_funding,,Маневицька р/о УТМР
2000,Ратнівська р/р УТМР,gov_funding,,Ратнівська р/о УТМР
2000,Рожищенська р/р УТМР,gov_funding,,Рожищенська р/о УТМР
2000,Старовижівська р/р УТМР,gov_funding,,Старовижівська р/о УТМР
2000,Шацька р/р УТМР,gov_funding,,Шацька р/о УТМР
2000,Облрада УТМР,gov_funding,,Облрада УТМР
2000,"Турійське РТМР ""Тур""",gov_funding,,Турійське РТМР Тур
2000,"Ковельське СЛГП ""Тур""",gov_funding,,"Ковельське СЛАП ""Тур"""
2000,К.-Каширське СЛГП,gov_funding,,Камінь-Каширськагроліс
2000,"МП ""Агросервіс""",gov_funding,,МП Агросервіс
2000,"ТзОВ ""Вікінг""",gov_funding,,Вікінг
2000,Шацький ПНП,gov_funding,21216.0,Шацький НПП
2000,"ДМГ ""Борове""",salary,26600.0,Борове ЛМГ
2000,"ДМГ ""Горохівське""",salary,29895.0,Горохівське ЛМГ
2000,"ДМГ ""Старовижівське""",salary,25200.0,Старовижівське ЛГ
2000,Звірівське ДЛМГ,salary,56812.0,Звірівське ЛМГ
2000,В.-Волинське ДЛМГ,salary,4560.0,Володимир-Волинське ЛМГ
2000,Любешівське ДЛМГ,salary,12522.0,Любешівське ЛМГ
2000,Ратнівське ДЛМГ,salary,6300.0,Ратнівське ЛМГ
2000,Городоцький ДЛГ,salary,3660.0,Городоцьке ЛГ
2000,К.-Каширський ДЛГ,salary,4544.0,Камінь-Каширське ЛГ
