year,host,metric,value,host_canonical
2000,"ДМГ ""Борове""",area_total,56.2,Борове ЛМГ
2000,"ДМГ ""Горохівське""",area_total,92.2,Горохівське ЛМГ
2000,"ДМГ ""Старовижівське""",area_total,38.3,Старовижівське ЛГ
2000,Звірівське ДЛМГ,area_total,27.9,Звірівське ЛМГ
2000,В.-Волинське ДЛМГ,area_total,55.8,Володимир-Волинське ЛМГ
2000,Любешівське ДЛМГ,area_total,44.6,Любешівське ЛМГ
2000,Ратнівське ДЛМГ,area_total,55.3,Ратнівське ЛМГ
2000,Городоцький ДЛГ,area_total,21.7,Городоцьке ЛГ
2000,К.-Каширський ДЛГ,area_total,43.7,Камінь-Каширське ЛГ
2000,Ківерцівський ДЛГ,area_total,8.7,Ківерцівське ЛГ
2000,Ковельський ДЛГ,area_total,8.6,Ковельське ЛГ
2000,Любомльський ДЛГ,area_total,7.8,Любомльське ЛГ
2000,Маневицький ДЛГ,area_total,33.6,Маневицьке ЛГ
2000,Цуманський ДЛГ,area_total,27.2,Цуманське ЛГ
2000,Шацький ДЛГ,area_total,11.3,Шацьке ЛГ
2000,В.-Волинська р/р УТМР,area_total,39.8,Володимир-Волинська р/о УТМР
2000,Іваничівська р/р УТМР,area_total,38.7,Іваничівська р/о УТМР
2000,К.-Каширська р/р УТМР,area_total,69.0,Камінь-Каширська р/о УТМР
2000,Ківерцівська р/р УТМР,area_total,59.4,Ківерцівська р/о УТМР
2000,Ковельська р/р УТМР,area_total,76.5,Ковельська м/о УТМР
2000,Локачинська р/р УТМР,area_total,34.3,Локачинська р/о УТМР
2000,Луцька р/р УТМР,area_total,69.6,Луцька р/о УТМР
2000,Любешівська р/р УТМР,area_total,89.2,Любешівська р/о УТМР
2000,Любомльська р/р УТМР,area_total,93.7,Любомльська р/о УТМР
2000,Маневицька р/р УТМР,area_total,35.9,Маневицька р/о УТМР
2000,Ратнівська р/р УТМР,area_total,52.3,Ратнівська р/о УТМР
2000,Рожищенська р/р УТМР,area_total,73.9,Рожищенська р/о УТМР
2000,Старовижівська р/р УТМР,area_total,48.9,Старовижівська р/о УТМР
2000,Шацька р/р УТМР,area_total,21.5,Шацька р/о УТМР
2000,Облрада УТМР,area_total,17.8,Облрада УТМР
2000,"Турійське РТМР ""Тур""",area_total,98.8,Турійське РТМР Тур
2000,"Ковельське СЛГП ""Тур""",area_total,29.0,"Ковельське СЛАП ""Тур"""
2000,К.-Каширське СЛГП,area_total,26.5,Камінь-Каширськагроліс
2000,"МП ""Агросервіс""",area_total,29.8,МП Агросервіс
2000,"ТзОВ ""Вікінг""",area_total,11.8,Вікінг
2000,Шацький ПНП,area_total,32.2,Шацький НПП
2000,"ДМГ ""Борове""",area_managed,56.2,Борове ЛМГ
2000,"ДМГ ""Горохівське""",area_managed,10.1,Горохівське ЛМГ
2000,"ДМГ ""Старовижівське""",area_managed,38.3,Старовижівське ЛГ
2000,Звірівське ДЛМГ,area_managed,27.9,Звірівське ЛМГ
2000,В.-Волинське ДЛМГ,area_managed,28.0,Володимир-Волинське ЛМГ
2000,Любешівське ДЛМГ,area_managed,18.6,Любешівське ЛМГ
2000,Ратнівське ДЛМГ,area_managed,55.3,Ратнівське ЛМГ
2000,Городоцький ДЛГ,area_managed,21.7,Городоцьке ЛГ
2000,К.-Каширський ДЛГ,area_managed,43.7,Камінь-Каширське ЛГ
2000,Ківерцівський ДЛГ,area_managed,8.7,Ківерцівське ЛГ
2000,Ковельський ДЛГ,area_managed,8.6,Ковельське ЛГ
2000,Любомльський ДЛГ,area_managed,7.8,Любомльське ЛГ
2000,Маневицький ДЛГ,area_managed,20.4,Маневицьке ЛГ
2000,Цуманський ДЛГ,area_managed,27.2,Цуманське ЛГ
2000,Шацький ДЛГ,area_managed,11.3,Шацьке ЛГ
2000,В.-Волинська р/р УТМР,area_managed,28.1,Володимир-Волинська р/о УТМР
2000,Іваничівська р/р УТМР,area_managed,36.5,Іваничівська р/о УТМР
2000,К.-Каширська р/р УТМР,area_managed,69.0,Камінь-Каширська р/о УТМР
2000,Ківерцівська р/р УТМР,area_managed,59.4,Ківерцівська р/о УТМР
2000,Ковельська р/р УТМР,area_managed,76.5,Ковельська м/о УТМР
2000,Локачинська р/р УТМР,area_managed,34.3,Локачинська р/о УТМР
2000,Луцька р/р УТМР,area_managed,69.6,Луцька р/о УТМР
2000,Любешівська р/р УТМР,area_managed,89.2,Любешівська р/о УТМР
2000,Любомльська р/р УТМР,area_managed,81.8,Любомльська р/о УТМР
